sum.taxonomy	Min_sebastes_BH.1.A.S7.L001	Min_sebastes_BH.1.B.S21.L001	Min_sebastes_BH.1.C.S35.L001	Min_sebastes_BH.2.A.S8.L001	Min_sebastes_BH.2.B.S22.L001	Min_sebastes_BH.2.C.S36.L001	Min_sebastes_BH.3.A.S9.L001	Min_sebastes_BH.3.B.S23.L001	Min_sebastes_BH.3.C.S37.L001	Min_sebastes_BL.1.A.S10.L001	Min_sebastes_BL.1.B.S24.L001	Min_sebastes_BL.1.C.S38.L001	Min_sebastes_BL.2.A.S11.L001	Min_sebastes_BL.2.B.S25.L001	Min_sebastes_BL.2.C.S39.L001	Min_sebastes_BL.3.A.S12.L001	Min_sebastes_BL.3.B.S26.L001	Min_sebastes_BL.3.C.S40.L001	Min_sebastes_LSB.B1.S43.L001	Min_sebastes_LSC.C2.S44.L001	Min_sebastes_LSC.C3.A.S45.L001	Min_sebastes_LSC.C3.B.S46.L001	Min_sebastes_PCR.blank.A.S14.L001	Min_sebastes_PRSC.A3.S47.L001	Min_sebastes_SH.1.A.S1.L001	Min_sebastes_SH.1.B.S15.L001	Min_sebastes_SH.1.C.S29.L001	Min_sebastes_SH.2.A.S2.L001	Min_sebastes_SH.2.B.S16.L001	Min_sebastes_SH.2.C.S30.L001	Min_sebastes_SH.3.A.S3.L001	Min_sebastes_SH.3.B.S17.L001	Min_sebastes_SH.3.C.S31.L001	Min_sebastes_SL.1.A.S4.L001	Min_sebastes_SL.1.B.S18.L001	Min_sebastes_SL.1.C.S32.L001	Min_sebastes_SL.2.A.S5.L001	Min_sebastes_SL.2.B.S19.L001	Min_sebastes_SL.2.C.S33.L001	Min_sebastes_SL.3.A.S6.L001	Min_sebastes_SL.3.B.S20.L001	Min_sebastes_SL.3.C.S34.L001
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes jordani	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes koreanus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes lentiginosus	0	0	0	0	0	0	0	0	0	0	0	0	26	1	5	14	5	0	0	0	1	0	0	0	35	0	0	48	7	10	0	498	30	16	18	33	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes levis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes macdonaldi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes maliger	0	0	2	37	10	0	2	0	0	10	1	19	30	11	19	10	29	30	0	1	0	0	0	0	23	1	11	37	11	38	90	0	22	38	109	11	1	49	30	0	10	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes melanops	0	4	0	0	2	4	6	12	0	7	13	10	2	0	4	5	13	7	0	0	0	0	0	0	21	8	16	22	41	42	24	49	29	19	17	26	6	14	20	3	8	49
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes melanostomus	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes miniatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes moseri	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
